Country Name,Country Code,Jahr,GDP,GDP_per_Capita,Inflation,Population,Unemployment
"Korea, Rep.",KOR,1988,205477530605.222,4888.68509195605,7.14609773721605,42031247.0,
Mexico,MEX,1988,181611150496.787,2278.81222720992,114.162258549066,79695531.0,
Russian Federation,RUS,1988,554828660436.137,3778.01977539063,,146857000.0,
Saudi Arabia,SAU,1988,88256074766.3551,9165.49615323397,0.907563025210508,9629165.0,
South Africa,ZAF,1988,103976831870.957,2702.05504774508,12.779553083028,38480649.0,
Turkiye,TUR,1988,90875175808.7201,1685.69479240535,68.8096433837049,53909626.0,
United Kingdom,GBR,1988,910122732123.799,15987.1680775688,4.15535171583102,56928327.0,
United States,USA,1988,5236438000000.0,21417.0119305191,4.07774110744413,244499000.0,
Argentina,ARG,1989,76629728760.123,2374.57321551641,,32270948.0,
Australia,AUS,1989,300264309002.14,17857.5520554588,7.53390256152688,16814416.0,
Brazil,BRA,1989,412990820287.42,2818.99277980122,1430.7237251472,146502972.0,
Canada,CAN,1989,567211993243.243,20794.682233334,4.98362189985958,27276781.0,
China,CHN,1989,348380566801.619,311.429461227032,18.2456383621648,1118650000.0,
France,FRA,1989,1016742237302.08,17547.2645422514,3.49830220700749,57943062.0,
Germany,DEU,1989,1404092925205.45,17829.4609524705,2.78056955569751,78751283.0,
India,IND,1989,296042052944.66,349.915155021864,7.07428002942301,846039529.0,
Indonesia,IDN,1989,94451427876.6628,524.143027322576,6.41554079916364,180201630.0,
Italy,ITA,1989,930801709003.669,16424.4301587005,6.25983137956977,56671781.0,
Japan,JPN,1989,3109455047823.93,25265.9487590208,2.27228962064317,123069000.0,
"Korea, Rep.",KOR,1989,254236243100.439,5989.2109474999,5.70016544561401,42449038.0,
Mexico,MEX,1989,221403098266.77,2725.05572275442,20.0078767139978,81247182.0,
Russian Federation,RUS,1989,506631299734.748,3429.64990234375,,147721000.0,
Saudi Arabia,SAU,1989,95344459279.0387,9413.58119352769,1.03264490339739,10128394.0,
South Africa,ZAF,1989,108055624081.806,2726.70980679488,14.7308753982381,39628575.0,
Turkiye,TUR,1989,107127191328.935,1948.59179454794,63.2725524930958,54976723.0,
United Kingdom,GBR,1989,926884816753.927,16239.2821960944,5.76024909185262,57076711.0,
United States,USA,1989,5641580000000.0,22857.1544330056,4.82700303008944,246819000.0,
Argentina,ARG,1990,141352654305.163,4315.33403111588,,32755901.0,
Australia,AUS,1990,311840666465.053,18273.561526468,7.33302195235872,17065128.0,
Brazil,BRA,1990,390725626002.866,2619.80141064047,2947.732772483,149143223.0,
Canada,CAN,1990,596075591360.987,21525.8611387148,4.78047693336304,27691138.0,
China,CHN,1990,361560229445.507,318.50335359039,3.05229012075233,1135185000.0,
France,FRA,1990,1257649439826.53,21586.4674617483,3.19428338029475,58261012.0,
Germany,DEU,1990,1778162195860.07,22385.6778250275,2.69646824292392,79433029.0,
India,IND,1990,320979026420.035,371.085936203765,8.9712325027325,864972221.0,
Indonesia,IDN,1990,106140727333.636,578.420121135382,7.81919756505635,183501098.0,
Italy,ITA,1990,1183945130898.51,20873.7834092719,6.456609061464,56719240.0,
Japan,JPN,1990,3185904656663.85,25801.3950393094,3.0785162869516,123478000.0,
"Korea, Rep.",KOR,1990,292064221388.988,6812.9019416767,8.57327225728677,42869283.0,
Mexico,MEX,1990,261253675692.838,3154.46920349038,26.6516725646771,82820170.0,
Russian Federation,RUS,1990,517014446227.929,3494.06323242188,,147969406.0,
Saudi Arabia,SAU,1990,117630173564.753,11054.7495049666,2.0771513353116,10640691.0,
South Africa,ZAF,1990,126048140141.869,3093.48920352334,14.3209918914915,40746268.0,
Turkiye,TUR,1990,150655500191.644,2689.52621921233,60.3038691346446,56015628.0,
United Kingdom,GBR,1990,1093169389204.55,19095.4669984608,8.06346090938833,57247586.0,
United States,USA,1990,5963144000000.0,23888.6000088133,5.39795643990325,249623000.0,
Argentina,ARG,1991,189719984268.485,5709.24784079504,,33230294.0,5.44
Australia,AUS,1991,326416407860.792,18885.4274465057,3.17667536988685,17284036.0,9.586
Brazil,BRA,1991,342609231342.783,2258.10454027063,432.786661926461,151724256.0,6.887
